Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status
CVE 306,SOIL MECHANICS,CVE,300,SECOND,3,CORE,No,EXISTS
CVE 307,CIVIL ENGINEERING MATERIALS,CVE,300,FIRST,2,CORE,No,EXISTS
CVE 308,STRUCTURAL DESIGN I,CVE,300,SECOND,3,CORE,No,EXISTS
CVE 309,THEORY OF STRUCTURES,CVE,300,FIRST,2,CORE,No,EXISTS
CVE 310,ENGINEERING SURVEYING II,CVE,300,SECOND,3,CORE,No,EXISTS
CVE 311,ENGINEERING SURVEYING,CVE,300,FIRST,3,CORE,No,EXISTS
CVE 312,CIVIL ENGINEERING DRAWING,CVE,300,SECOND,2,CORE,No,EXISTS
CVE 313,ENGINEERING GEOLOGY,CVE,300,FIRST,3,CORE,No,EXISTS
CVE 401,CIVIL ENGINEERING PRACTICE,CVE,400,FIRST,3,CORE,No,EXISTS
CVE 403,HYDRAULICS ENGINEERING,CVE,400,FIRST,3,CORE,No,EXISTS
CVE 405,STRUCTURAL ANALYSIS I,CVE,400,FIRST,2,CORE,No,EXISTS
CVE 407,STRUCTURAL DESIGN II,CVE,400,FIRST,3,CORE,No,EXISTS
CVE 409,FOUNDATION ENGINEERING,CVE,400,FIRST,3,CORE,No,EXISTS
CVE 411,HIGHWAY ENGINEERING,CVE,400,FIRST,2,CORE,No,EXISTS
CVE 502,WATER AND WASTEWATER ENGINEERING,CVE,500,SECOND,3,CORE,No,MISSING
CVE 503,STRUCTURAL ENGINEERING,CVE,500,FIRST,2,CORE,No,EXISTS
CVE 504,ADVANCED STRUCTURAL ENGINEERING,CVE,500,SECOND,2,CORE,No,MISSING
CVE 505,WATER RESOURCES ENGINEERING,CVE,500,FIRST,3,CORE,No,EXISTS
CVE 506,HIGHWAY AND TRANSPORTATION ENGINEERING II,CVE,500,SECOND,2,CORE,No,MISSING
CVE 507,HIGHWAY & TRANSPORTATION ENGINEERING I,CVE,500,FIRST,3,CORE,No,EXISTS
CVE 508,GEOTECHNICAL ENGINEERING,CVE,500,SECOND,3,CORE,No,MISSING
CVE 509,STRUCTURAL ANALYSIS II,CVE,500,FIRST,3,CORE,No,EXISTS
CVE 510,CONSTRUCTION ENGINEERING,CVE,500,SECOND,3,CORE,No,MISSING
CVE 517,ENVIRONMENTAL ENGINEERING,CVE,500,FIRST,2,ELECTIVE,Yes,EXISTS
CVE 518,DRAINAGE AND IRRIGATION ENGINEERING,CVE,500,SECOND,2,ELECTIVE,Yes,MISSING
CVE 519,BUILDING SERVICES ENGINEERING,CVE,500,FIRST,2,ELECTIVE,Yes,EXISTS
CVE 572,FINAL YEAR PROJECT,CVE,500,SECOND,6,CORE,No,MISSING
EEE 101,INTRODUCTION TO ELECTRICAL AND ELECTRONICS ENGINEERING,EEE,100,FIRST,2,CORE,No,MISSING
EEE 313,ELECTRONICS I,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 314,ELECTRONICS II (ANALOGUE),EEE,300,SECOND,3,CORE,No,EXISTS
EEE 315,ELECTROMAGNETIC FIELD AND WAVES I,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 316,ELECTROMAGNETIC FIELD AND WAVE THEORY II,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 317,ELECTRICAL/ELECTRONICS LABORATORY I,EEE,300,FIRST,1,CORE,No,MISSING
EEE 318,ELECTRICAL/ELECTRONIC LABORATORY,EEE,300,SECOND,1,CORE,No,MISSING
EEE 319,MEASUREMENT AND INSTRUMENTATION,EEE,300,FIRST,3,CORE,No,EXISTS
