Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status,Priority,Category
BME 443,BIOMECHANICS II,BME,400,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 453,INTRODUCTION TO PHARMACOLOGY,BME,400,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 461,BIOMEDICAL ENGINEERING DESIGN,BME,400,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 463,BIOMEDICAL WORKSHOP AND MANUFACTURING PROCESSES,BME,400,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 511,ARTIFICIAL NEURAL NETWORKS FOR BIOMEDICAL APPLICATION,BME,500,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 512,RELIABILITY AND SAFETY OF BIOMEDICAL EQUIPMENT,BME,500,SECOND,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 513,EMBEDDED SYSTEMS FOR BIOMEDICAL APPLICATION,BME,500,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 515,BIO-INFORMATICS,BME,500,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 516,ADVANCED BIO-SIGNAL PROCESSING,BME,500,SECOND,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 518,BIOMEDICAL RADIATION TECHNOLOGY AND IMAGE PROCESSING,BME,500,SECOND,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 521,HEAT TRANSFER IN LIVING TISSUES,BME,500,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 524,BIOSAFETY AND HOSPITAL HEALTH ENGINEERING,BME,500,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 532,INTRODUCTION TO CARDIOVASCULAR FLUID MECHANICS,BME,500,SECOND,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 552,INTRODUCTION TO GENERAL PATHOLOGY,BME,500,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 553,TISSUE ENGINEERING AND REGENERATIVE MEDICINE,BME,500,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 561,COMPUTER AIDED DESIGN AND ANALYSIS FOR MEDICAL DEVICES,BME,500,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 571,BIOMEDICAL ENGINEERING INDUSTRIES,BME,500,FIRST,2,ELECTIVE,Yes,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 572,CLINICAL APPLICATION OF HUMAN COMPUTER INTERACTION,BME,500,SECOND,2,ELECTIVE,Yes,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 573,BIOMEDICAL TELEMETRY,BME,500,FIRST,2,ELECTIVE,Yes,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 574,APPLICATION OF MICROFLUIDICS IN MEDICAL TECHNOLOGY,BME,500,SECOND,2,ELECTIVE,Yes,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 575,INTRODUCTION TO BIO-TRANSPORT PROCESSES,BME,500,FIRST,2,ELECTIVE,Yes,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 576,SKELETAL TISSUE MECHANICS,BME,500,SECOND,2,ELECTIVE,Yes,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 590,RESEARCH PROJECT I,BME,500,FIRST,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 592,RESEARCH PROJECT II,BME,500,SECOND,3,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BMW 315,COMPUTER APPLICATION FOR BIOLOGICAL SYSTEMS,BMW,300,FIRST,2,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
CHE 302,CHEMICAL ENGINEERING LABORATORY,CHE,300,SECOND,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 311,INTRODUCTION TO MATERIAL AND ENERGY BALANCES,CHE,300,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 312,TRANSPORT PHENOMENA II,CHE,300,SECOND,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 313,TRANSPORT PHENOMENA I,CHE,300,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 314,CHEMICAL KINETICS,CHE,300,SECOND,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 315,CHEMICAL ENGINEERING THERMODYNAMICS,CHE,300,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 316,SEPERATION PROCESSES I,CHE,300,SECOND,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 317,BIOCHEMICAL ENGINEERING I,CHE,300,FIRST,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 318,SCIENCE OF MATERIALS,CHE,300,SECOND,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 319,POLYMER PROCESS ENGINEERING,CHE,300,FIRST,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 320,PROCESS MODELLING AND STIMULATION,CHE,300,SECOND,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 321,PROCESS INSTRUMENTATION,CHE,300,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 323,PARTICLE TECHNOLOGY,CHE,300,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 401,CHEMICAL ENGINEERING LABORATORY II,CHE,400,FIRST,2,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 411,TRANSPORT PHENOMENA III,CHE,400,FIRST,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 413,CHEMICAL REACTION ENGINEERING I,CHE,400,FIRST,2,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 415,CHEMICAL ENGINEERING THERMODYNAMICS II,CHE,400,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 417,PLANT DESIGN I,CHE,400,FIRST,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 419,SEPERATION PROCESS II,CHE,400,FIRST,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 421,CHEMICAL ENGINEERING ANALYSIS,CHE,400,FIRST,2,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 423,ENVIRONMENTAL ENGINEERING,CHE,400,FIRST,3,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 500,RESEARCH PROJECT,CHE,500,SECOND,6,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 501,CHEMICAL ENGINEERING LABORATORY III,CHE,500,FIRST,1,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 511,PROCESS OPTIMISATION,CHE,500,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 512,LOSS PREVENTION IN PROCESS INDUSTRIES,CHE,500,SECOND,2,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 513,CHEMICAL REACTION ENGINEERING II,CHE,500,FIRST,2,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 514,PROCESS CONTROL II,CHE,500,SECOND,2,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 515,PROCESS CONTROL I,CHE,500,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 516,RESERVOIR ENGINEERING,CHE,500,SECOND,3,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 517,SEPERATION PROCESSES III,CHE,500,FIRST,3,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 518,PLANT DESIGN II,CHE,500,SECOND,5,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 519,POLYMER SCIENCE AND TECHNOLOGY,CHE,500,FIRST,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHE 520,PETROCHEMICAL SCIENCE AND TECHNOLOGY,CHE,500,SECOND,3,ELECTIVE,Yes,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 521,BIOCHEMICAL ENGINEERING II,CHE,500,FIRST,3,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 522,FERMENTATION TECHNOLOGY,CHE,500,SECOND,3,ELECTIVE,Yes,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 523,TECHNOLOGY PF FOSSIL FUEL PROCESSING,CHE,500,FIRST,3,ELECTIVE,Yes,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 524,COAL PROCESSING TECHNOLOGY,CHE,500,SECOND,3,ELECTIVE,Yes,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 525,SUGAR TECHNOLOGY,CHE,500,FIRST,3,ELECTIVE,Yes,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 526,CEMENT AND CEMENT TECHNOLOGY,CHE,500,SECOND,3,ELECTIVE,Yes,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 527,DETERGENT TECHNOLOGY,CHE,500,FIRST,3,ELECTIVE,Yes,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 529,PULP AND PAPER TECHNOLOGY,CHE,500,FIRST,3,ELECTIVE,Yes,MISSING,MEDIUM - Moderate Coverage,Core Engineering
CHE 531,PETROLEUM REFINING TECHNOLOGY,CHE,500,FIRST,3,ELECTIVE,Yes,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
CHM 101,GENERAL CHEMISTRY I,CHM,100,FIRST,2,CORE,No,EXISTS,HIGH - Foundation Courses,Foundation/Support
CHM 102,GENERAL CHEMISTRY II,CHM,100,SECOND,2,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
CHM 107,GENERAL PRACTICAL CHEMISTRY 1,CHM,100,FIRST,1,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
CHM 108,GENERAL PRACTICAL CHEMISTRY II,CHM,100,SECOND,1,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
COE 101,INTRODUCTION TO COMPUTER ENGINEERING,COE,100,FIRST,2,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
COE 302,OBJECT ORIENTED PROGRAMMING,COE,300,SECOND,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
COE 304,COMPUTER ARCHITECTURE AND ORGANIZATION,COE,300,SECOND,3,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
COE 307,COMPUTER ENGINEERING LABORATORY,COE,300,FIRST,1,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
COE 308,COMPUTER ENGINEERING LABORATORY,COE,300,SECOND,1,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
COE 310,ANALYSIS OF ALGORITHMS AND DATA STRUCTURES,COE,300,SECOND,2,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
COE 341,SOFTWARE DEVELOPMENT TECHNIQUES,COE,300,FIRST,3,CORE,No,MISSING,MEDIUM - Moderate Coverage,Core Engineering
COE 405,NUMERICAL COMPUTATIONS,COE,400,FIRST,3,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
COE 409,PROTOTYPING TECHNIQUES,COE,400,FIRST,2,CORE,No,EXISTS,MEDIUM - Moderate Coverage,Core Engineering
